ID,sex,race,educ,yob,hhincome2021,parent_edu
825,female,hispanic,BA,1982,160000,HS
826,male,hispanic,HS,1981,140250,Some college
828,female,nonblacknonhispanic,BA,1983,217000,HS
830,male,nonblacknonhispanic,HS,1982,78000,HS
831,male,nonblacknonhispanic,BA,1984,92429,BA or more
833,female,nonblacknonhispanic,HS,1983,331000,BA or more
834,male,nonblacknonhispanic,HS,1984,153020,HS
835,female,nonblacknonhispanic,AA,1982,195000,BA or more
836,male,nonblacknonhispanic,HS,1980,190150,HS
839,female,nonblacknonhispanic,BA,1980,264700,BA or more
840,female,nonblacknonhispanic,BA,1984,135200,BA or more
841,female,nonblacknonhispanic,BA,1982,599728,BA or more
842,male,nonblacknonhispanic,BA,1983,96750,BA or more
843,male,nonblacknonhispanic,HS,1980,178500,BA or more
844,female,nonblacknonhispanic,BA,1983,599728,Some college
846,female,hispanic,BA,1980,143750,BA or more
847,male,black,HS,1982,200000,Some college
848,female,black,GED,1984,98400,Some college
850,female,black,MA,1981,90000,HS
851,female,nonblacknonhispanic,BA,1983,155000,HS
853,female,nonblacknonhispanic,AA,1984,333651,HS
855,female,nonblacknonhispanic,MA,1981,336001,BA or more
856,male,nonblacknonhispanic,HS,1980,15000,Some college
857,female,nonblacknonhispanic,HS,1980,168000,Some college
858,female,nonblacknonhispanic,AA,1983,92500,Some college
859,male,nonblacknonhispanic,HS,1982,110000,Some college
860,male,multi,AA,1982,300000,BA or more
861,male,multi,BA,1984,285000,BA or more
862,female,nonblacknonhispanic,GED,1981,70000,Some college
863,female,nonblacknonhispanic,HS,1984,60657,Some college
864,female,nonblacknonhispanic,None,1982,78750,HS
865,male,nonblacknonhispanic,AA,1984,202686,HS
866,male,nonblacknonhispanic,HS,1982,108571,HS
870,male,black,HS,1984,13643,HS
873,female,hispanic,MA,1984,233000,less than HS
874,male,hispanic,AA,1984,77500,less than HS
875,female,nonblacknonhispanic,GED,1982,111223,HS
876,female,nonblacknonhispanic,GED,1984,204786,Some college
879,female,nonblacknonhispanic,MA,1981,220000,BA or more
881,female,black,BA,1982,168000,BA or more
882,male,hispanic,HS,1983,63171,Some college
883,female,hispanic,HS,1983,114000,Some college
884,male,nonblacknonhispanic,AA,1981,270000,BA or more
885,male,nonblacknonhispanic,HS,1983,170010,BA or more
888,female,multi,AA,1981,130000,BA or more
889,male,nonblacknonhispanic,HS,1984,127000,BA or more
890,male,black,GED,1980,180743,HS
892,female,black,HS,1983,135000,HS
893,male,hispanic,MA,1980,124000,Some college
895,male,hispanic,BA,1984,237000,Some college
896,female,nonblacknonhispanic,HS,1983,86000,Some college
899,female,nonblacknonhispanic,HS,1980,152000,BA or more
901,female,nonblacknonhispanic,BA,1984,61000,Some college
903,male,hispanic,HS,1981,65000,HS
905,female,hispanic,GED,1983,0,HS
906,female,nonblacknonhispanic,AA,1984,56000,less than HS
909,male,nonblacknonhispanic,HS,1983,20000,HS
912,female,black,MA,1981,100750,BA or more
913,female,nonblacknonhispanic,AA,1982,120000,BA or more
915,female,nonblacknonhispanic,BA,1980,160000,BA or more
